date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,day_of_week,numerical_sentiment,mean_sentiment_probability,percent_positive,percent_negative,percent_neutral
2026-03-30,536.38,539.55,528.54,536.38,22795203,536.38,539.55,528.54,536.38,22795203,0.0,1.0,525.72,543.5999,520.26,540.1,30133010.0,1,-0.1818181818181818,0.8056967095895247,0.0909090909090909,0.2727272727272727,0.6363636363636364
2026-03-31,572.13,573.69,546.77,549.98,32898272,572.13,573.69,546.77,549.98,32898272,0.0,1.0,536.38,539.55,528.54,536.38,22795203.0,2,-0.1052631578947368,0.8141234536704264,0.1578947368421052,0.2631578947368421,0.5789473684210527
2026-04-01,579.23,592.5465,573.82,580.13,23608128,579.23,592.5465,573.82,580.13,23608128,0.0,1.0,572.13,573.69,546.77,549.98,32898272.0,3,-0.1764705882352941,0.8036834533308067,0.1372549019607843,0.3137254901960784,0.5490196078431373
2026-04-02,574.46,578.5,559.7,566.035,13518547,574.46,578.5,559.7,566.035,13518547,0.0,1.0,579.23,592.5465,573.82,580.13,23608128.0,4,-0.0238095238095238,0.795736529997417,0.238095238095238,0.2619047619047619,0.5
2026-04-06,573.02,582.79,572.0,577.69,9515651,573.02,582.79,572.0,577.69,9515651,0.0,1.0,574.46,578.5,559.7,566.035,13518547.0,1,-0.1428571428571428,0.8539427093097142,0.2857142857142857,0.4285714285714285,0.2857142857142857
2026-04-07,575.05,575.225,564.76,572.48,9580843,575.05,575.225,564.76,572.48,9580843,0.0,1.0,573.02,582.79,572.0,577.69,9515651.0,2,-0.1176470588235294,0.8049674191895653,0.1176470588235294,0.2352941176470588,0.6470588235294118
2026-04-08,612.42,629.95,591.83,606.0,32036638,612.42,629.95,591.83,606.0,32036638,0.0,1.0,575.05,575.225,564.76,572.48,9580843.0,3,0.0909090909090909,0.7866091114101987,0.2424242424242424,0.1515151515151515,0.6060606060606061
2026-04-09,628.39,637.5,623.0,626.97,19012912,628.39,637.5,623.0,626.97,19012912,0.0,1.0,612.42,629.95,591.83,606.0,32036638.0,4,0.1481481481481481,0.7900644463521463,0.2716049382716049,0.1234567901234567,0.6049382716049383
2026-04-10,629.86,638.58,624.33,634.47,13294844,629.86,638.58,624.33,634.47,13294844,0.0,1.0,628.39,637.5,623.0,626.97,19012912.0,5,-0.0253164556962025,0.7780209994768794,0.189873417721519,0.2151898734177215,0.5949367088607594
2026-04-13,634.53,635.0,624.4,629.5,9538931,634.53,635.0,624.4,629.5,9538931,0.0,1.0,629.86,638.58,624.33,634.47,13294844.0,1,0.225,0.7951831012964249,0.275,0.05,0.675
